Date,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SBILIFE.NS,SHREECEM.NS,SUNPHARMA.NS,TATAMOTORS.NS,TATASTEEL.NS,TATACONSUM,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2018-01-01,393.0920715332031,1120.1517333984375,564.798583984375,3016.954345703125,1715.7315673828125,5165.7626953125,472.79302978515625,406.2407836914063,2253.428955078125,603.4678344726562,205.91612243652344,1071.162353515625,2327.70068359375,2708.5869140625,1119.869384765625,424.8949890136719,1602.9964599609375,913.6405029296876,387.9153747558594,3323.02783203125,266.54302978515625,1287.7645263671875,304.0189514160156,1602.77880859375,474.47259521484375,152.2053680419922,234.6351623535156,247.10159301757807,998.9014282226562,1178.6273193359375,725.379150390625,9269.234375,7416.47509765625,123.5921859741211,164.34005737304688,171.6374969482422,887.4190673828125,307.1000061035156,695.1339721679688,17704.8359375,558.5972900390625,424.4500122070313,642.1519775390625,642.1519775390625,642.1519775390625,642.1519775390625,642.1519775390625,642.1519775390625,642.1519775390625,642.1519775390625
2018-01-02,390.8789978027344,1119.270263671875,558.8060302734375,3021.998779296875,1714.7373046875,5095.095703125,462.6278381347656,399.21185302734375,2214.336181640625,599.81640625,208.5417022705078,1053.472900390625,2332.590087890625,2597.772216796875,1115.56201171875,431.7130432128906,1621.561279296875,922.4345092773438,393.73931884765625,3318.37451171875,267.2802734375,1282.113525390625,303.4311218261719,1622.6177978515625,472.70513916015625,150.81971740722656,233.2486572265625,245.93948364257807,1002.1480102539062,1168.39013671875,733.4156494140625,9175.2626953125,7416.8037109375,125.23726654052734,168.1847686767578,172.10903930664062,888.78466796875,303.25,680.8238525390625,17775.244140625,556.7484741210938,439.2999877929688,648.4650268554688,648.4650268554688,648.4650268554688,648.4650268554688,648.4650268554688,648.4650268554688,648.4650268554688,648.4650268554688
2018-01-03,400.9607849121094,1118.4376220703125,559.7548217773438,2972.744140625,1705.44091796875,5093.4482421875,464.1055603027344,395.2979736328125,2226.17822265625,598.82958984375,209.93174743652344,1071.50341796875,2264.622314453125,2610.838134765625,1103.471923828125,433.8889770507813,1619.22900390625,912.7290649414062,383.9331665039063,3328.434326171875,271.8021240234375,1293.367431640625,308.62384033203125,1609.0955810546875,468.8489379882813,150.78070068359375,233.6064453125,249.7975616455078,999.0512084960938,1192.2769775390625,735.3638916015625,9043.26171875,7413.5517578125,123.94219207763672,165.27987670898438,172.880615234375,892.3450317382812,302.8500061035156,686.190185546875,17873.205078125,553.73193359375,433.8999938964844,653.4887084960938,653.4887084960938,653.4887084960938,653.4887084960938,653.4887084960938,653.4887084960938,653.4887084960938,653.4887084960938
2018-01-04,403.1247253417969,1147.96826171875,559.20556640625,2994.207275390625,1743.9185791015625,5056.5908203125,468.4044799804688,392.582275390625,2200.2353515625,608.6488647460938,214.52651977539065,1078.4720458984375,2334.13916015625,2588.765869140625,1145.6646728515625,431.858154296875,1621.513671875,916.3009643554688,397.2237548828125,3313.98681640625,275.0460205078125,1295.1873779296875,308.3299255371094,1625.2335205078125,466.1404724121094,151.17100524902344,233.9642791748047,257.65313720703125,999.3509521484376,1230.0467529296875,736.4353637695312,9014.115234375,7422.181640625,123.9771728515625,170.4488525390625,171.76611328125,897.7100830078125,308.5,697.2208862304688,17753.51953125,565.554931640625,429.9500122070313,675.9845581054688,675.9845581054688,675.9845581054688,675.9845581054688,675.9845581054688,675.9845581054688,675.9845581054688,675.9845581054688
2018-01-05,416.84576416015625,1160.8970947265625,562.5513305664062,3008.332275390625,1804.07080078125,5121.16552734375,483.6299133300781,389.5470581054688,2208.65283203125,607.0699462890625,215.2601623535156,1079.5440673828125,2394.748291015625,2649.134033203125,1188.6405029296875,435.21881103515625,1642.45849609375,918.123779296875,405.1881408691406,3319.083740234375,271.70379638671875,1299.30615234375,306.5663146972656,1676.1639404296875,464.5795593261719,149.82440185546875,235.17190551757807,265.0438537597656,1001.9981079101562,1229.298828125,736.7763671875,9059.828125,7410.3916015625,124.25720977783205,169.5517578125,172.53770446777344,900.587646484375,306.3500061035156,697.5687255859375,18727.3359375,563.1707763671875,431.6000061035156,685.2762451171875,685.2762451171875,685.2762451171875,685.2762451171875,685.2762451171875,685.2762451171875,685.2762451171875,685.2762451171875
2018-01-08,415.9605712890625,1157.7137451171875,564.7486572265625,3004.571533203125,1826.2923583984373,5215.1044921875,462.44873046875,397.1351013183594,2232.265380859375,606.97119140625,221.9786071777344,1087.8770751953125,2397.846923828125,2645.545654296875,1177.67626953125,435.4363708496094,1657.453125,916.645751953125,420.2209167480469,3356.399169921875,271.4580993652344,1310.6561279296875,307.7910461425781,1697.58251953125,475.6202392578125,151.65892028808594,237.58712768554688,265.8805847167969,1005.0449829101562,1251.1287841796875,740.2344970703125,9074.3310546875,7489.99658203125,124.36221313476562,168.65464782714844,171.9375457763672,905.757568359375,305.79998779296875,699.7550048828125,19132.060546875,575.6748657226562,433.5499877929688,683.5424194335938,683.5424194335938,683.5424194335938,683.5424194335938,683.5424194335938,683.5424194335938,683.5424194335938,683.5424194335938
2018-01-09,414.1901245117188,1168.5367431640625,564.5988159179688,2974.991455078125,1809.0421142578125,5150.33056640625,456.58245849609375,396.2565002441406,2207.630615234375,607.513916015625,234.79766845703125,1061.65966796875,2379.64453125,2591.1396484375,1211.4500732421875,432.2207946777344,1651.8360595703125,918.1729736328124,433.5612487792969,3323.338134765625,266.8870849609375,1303.85546875,306.2724304199219,1702.6656494140625,478.0533447265625,153.16163635253906,242.0150451660156,264.021240234375,1008.6911010742188,1245.9869384765625,742.718505859375,9011.5234375,7337.2939453125,123.69718170166016,168.3129119873047,172.32334899902344,917.8532104492188,304.29998779296875,712.7732543945312,19187.11328125,570.712158203125,437.5499877929688,686.698974609375,686.698974609375,686.698974609375,686.698974609375,686.698974609375,686.698974609375,686.698974609375,686.698974609375
2018-01-10,416.5015563964844,1153.208251953125,562.1019287109375,2941.8798828125,1791.841552734375,5193.43017578125,453.5373840332031,394.8187255859375,2223.229248046875,611.6094970703125,238.0796356201172,1051.9134521484375,2348.662109375,2545.884765625,1209.4921875,442.85882568359375,1643.6485595703125,918.4193115234376,427.3390808105469,3312.21435546875,264.23291015625,1308.165771484375,305.6845092773437,1711.5980224609375,483.0571899414063,152.04925537109375,240.986328125,262.9056701660156,1001.1990356445312,1237.5728759765625,740.1857299804688,9004.1279296875,7400.86474609375,121.77205657958984,169.08184814453125,171.33743286132812,919.2188720703124,301.1000061035156,707.158447265625,19257.919921875,569.349853515625,433.2999877929688,687.1879272460938,687.1879272460938,687.1879272460938,687.1879272460938,687.1879272460938,687.1879272460938,687.1879272460938,687.1879272460938
2018-01-11,418.5179138183594,1164.5208740234375,558.0569458007812,2929.0390625,1770.1170654296875,5140.34228515625,461.0157470703125,393.3011169433594,2245.486572265625,604.3065795898438,237.9252014160156,1073.598876953125,2348.2265625,2577.344482421875,1217.813232421875,443.3665771484375,1657.8341064453125,922.5330810546876,444.71142578125,3284.515380859375,263.2008056640625,1320.4732666015625,303.23516845703125,1678.23681640625,493.8683166503906,151.79551696777344,241.34413146972656,262.6732482910156,1016.5828857421876,1237.3856201171875,746.8098754882812,8969.5068359375,7426.9443359375,121.45704650878906,169.08184814453125,169.62277221679688,914.731689453125,302.20001220703125,699.4071655273438,19291.7890625,572.1231079101562,434.75,685.49853515625,685.49853515625,685.49853515625,685.49853515625,685.49853515625,685.49853515625,685.49853515625,685.49853515625
2018-01-12,416.35400390625,1165.2552490234375,554.4114379882812,2912.483154296875,1759.926025390625,5051.34716796875,456.3585510253906,391.3042907714844,2239.185546875,604.0599365234375,238.62022399902344,1066.0455322265625,2369.8173828125,2595.923828125,1195.9337158203125,447.7185668945313,1676.4937744140625,918.9613037109376,453.9202270507813,3268.295654296875,264.2821044921875,1316.01953125,311.2691650390625,1683.1224365234375,495.0848083496094,151.8540496826172,239.33143615722656,266.624267578125,1022.2767944335938,1242.6212158203125,747.6378173828125,9084.1259765625,7346.7265625,120.75700378417967,171.51681518554688,168.3367919921875,925.7055053710938,302.25,697.3699340820312,18636.29296875,567.7442626953125,437.1000061035156,684.8761596679688,684.8761596679688,684.8761596679688,684.8761596679688,684.8761596679688,684.8761596679688,684.8761596679688,684.8761596679688
